Tweet,sentimen
a h o k anies omong kosong anies banjir gegara bogor depok bima arya katulampa siaga i,negative
abin versi standee nyobain udara depok panas versi asli,neutral
abis bibi pindah depok jaman gdc full pohon bambu hutan kawan gila kubur kumpul makan gegitaran beneran basecamp anjing iya kubur rumah wkkwkw,positive
abistu mampir st depok jae ajakin anker main bogor bogor botanical gardens iya nama keren kebun raya bogor,negative
acha gila acha danta recis taman topi seblak anj ngapa depok,neutral
ada malam pagi polusi udara sesak depok,neutral
adaa depok banjir tertawa,negative
adab manusia tentu perilaku manusia hewan tumbuh lingkunganitu depok iya konon universitas muka asia tenggara,neutral
ade dirawalumbu tenang banget hujan renti ade langgan banjir depok hujan zar pulang,positive
adem depok mas hutan rawa anakonda,neutral
admin sampah jalan lurah durian mekar tolong bersih tegur lurah diam,positive
administrasi duduk depok beranta kali acara lingkung fotokopi ktp kk isi data pribadi keluarga ulang kali data mana data bocor banjir,positive
adu uh biasa banget iya pns dlhk tinggal banget kirain depok tinggal ilmu indonesiaaa ckcckkck,negative
aduh bingung depok iya itu babi hutan bingung depok hutan percaya babi ngepet buset deh babi ngepet bikin overthinking,neutral
aduuuh coba deh pasangin kamera cctv manusia manusia lucknut buang sampah sembarang,negative
aer ngebludak aer hujan kali isi aernya cmn jakarta bogor brkasi depok tanggerang kali kota numpang mari google cari salah sungai makane,negative
ah depok bala sampah manusia silver panas bau got,neutral
aihh buat tetep creepy daerah depok banget jurignya bnykan hantu belanda rumah temenku full setan ruang tamu kebun blkg,negative
air alir darat rendah bogor banjir iya turun depok bekas tanggerang cikarangjika batas kota jkarta banjir iya jakarta kena coba lihat google map,negative
air banjir dki jakarta dar udara bogor depok bahas atas,negative
air kali depok sampah melulu mbak,negative
air katulampa alir hilir jakarta status pintu air katulampa siaga volume air alir jakarta debit normal bilang banjir kali air kirim bogor amp depok,negative
air kirim bogor depok bang lucu si menteri pupr kemarin salah normalisasi kali ciliwung progres intensitas curah hujan tinggi tertawa,negative
air kirim bogor depok jalan jakarta sebab jakarta banjir,negative
air masuk langit bego amatnih orangjika bogordepok daerah banyk pohon besarwaduk bangundan jengka tanah bikin resap airtentu masuk jakarta tinggal dki resap airsngt bantu air buang laut,negative
air pindah cepat cahaya jam air bogordepok jakarta yg apresiasi tangan banjir surut cepat,positive
air tulis salah usaha kurang banjir kirim turun langsung depok bogor bangun embung sumur resap biaya dki uang kerohiman daerah nyampe,negative
air usir depok bogor jkt banjir,negative
airterjun dibongkarselain sebab banjir bahaya menyebrang atas mohon kait tindak terimakasih,negative
ajaib toko kelontong namiya depok alas nya judul cover tarik manfaat baca kasih taman baca gahigashinokeigo,positive
ajak musyawarah hujan nya bogor hujan depok jkt hujan jkt hujan depok bogor hujantanggung banjir,negative
ajar amp bukti lgs ciduk oknum suruh kerja sosial bersih sampah depok selesai covid pakai baju orange tahan kpk sumber,positive
ajar ekosistem sungai banget kenal cinta lingkung alam lt infodepok depok infojakarta infobogor depokhits infobekasi kulinerdepok depokterkini,positive
ajar fungsi hutan bodetabek gala sumur resap fungsi hutan ganti biar air sungai bayang bogordepokbekasi masuk jakarta resap air apa jakarta banjir,negative
ajar gerak puncak halo orangbaik selasa januari bencana alam banjir bandang cisarua bogor jawa barat hubung musibah ajar kota bogor depok ada,negative
akibat alir air hulu bogor depok buang laut tiga salur tangkap air waduk sungai kanal banjir drainase ruang buka hijau kapasitas tampung volume air akibat curah hujan ekstrem,negative
akibat buang sampah tpa pasir putih rtrw mukim warga ancam longsor janji bebas pemkot janji yth presiden gubernur jabar walikota depok tidur tenang bahaya longsor ancam,positive
akibat hujan deras tanggul jebol sebab banjir rumah depok depok,negative
akibat hujan lebat jalan siliwangi pancoran mas depok banjir,negative
akibat longsor pasca hujan deras akses kawasan rumah toko lumpuh pantau lokasi jalan amblas warga harap pemkot depok buka jalur kawasan rumah toko,positive
akibat orang politik suruh bicara teknis bloonnya ga ketulungan bogordepok bikin banjir tahun ambil langkah strategis ferguso,positive
